Username,Compound Score,Negative Score,Neutral Score,Postive Score,Tweet_Date,Tweet_Text,Tweets Ago
@BBC,0.718,0.0,0.727,0.273,Mon Apr 09 17:02:07 +0000 2018,"Keep full and satisfied with these protein-filled, vegetarian dinners. 
Make double portions and save for lunch tom… https://t.co/yh3RGeC5i3",0
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 16:43:45 +0000 2018,"RT @BBCScotland: The history behind #NationalUnicornDay 🦄

*may not be factually accurate* https://t.co/p44XmIXnoM",1
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 16:34:07 +0000 2018,RT @BBCTwo: Can you guess the city? #TheCityAndTheCity’s @davemorrissey64 and @MandiDhillon tried our game out for size… 🌆🏙🙃 https://t.co/U…,2
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 16:26:04 +0000 2018,"The latest episode of @TheSimpsons has addressed controversy surrounding Indian character Apu for the first time.
👉… https://t.co/guqD0Pf53R",3
@BBC,0.624,0.0,0.494,0.506,Mon Apr 09 16:04:04 +0000 2018,🏃‍♀️❤️ What a brilliant idea! https://t.co/QUVCwBptOU,4
@BBC,0.4,0.0,0.856,0.144,Mon Apr 09 15:42:30 +0000 2018,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! 💗💗💗💗💗 RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…,5
@BBC,0.541,0.0,0.811,0.189,Mon Apr 09 15:29:26 +0000 2018,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn",6
@BBC,0.527,0.0,0.793,0.207,Mon Apr 09 15:07:08 +0000 2018,"🐶❤️😽
Henry and Baloo: Dog and cat travel companions gain cult following.
👉 https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv",7
@BBC,0.527,0.0,0.855,0.145,Mon Apr 09 14:02:03 +0000 2018,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
👉… https://t.co/MULW1tgRPL",8
@BBC,0.44,0.0,0.707,0.293,Mon Apr 09 13:01:05 +0000 2018,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p",9
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 12:31:27 +0000 2018,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe,10
@BBC,0.0,0.0,1.0,0.0,Mon Apr 09 12:28:16 +0000 2018,"🌭🐶 Over 1,500 people turned up to this mass sausage dog walk in Manchester yesterday. https://t.co/6fscMy6eZ7",11
